"","LU_0","LU_3","LU_4","LU_5","LU_6","LU_9","LU_11","LU_12","LU_13","LU_15","LU_18","LU_21","LU_24","LU_25","LU_27","LU_30","LU_31","LU_32","LU_33","LU_34","LU_35","id"
"1",0,0,64.2764237349624,0,0,0,0,0,92.8680448327242,0,0,183.823404537252,306.467943007142,8.28321840753794,0,0,0,0,0,0,0,"061110"
"2",0,0,460.605574469373,0,0,0,0,0,0,0,0,972.150138732449,33727.5791044393,2050.44754254717,0,0,0,0,0,0,0,"140103"
"3",0,0,5961.79980057381,0,0,0,0,0,0,0,0,8611.35378127295,223634.802351967,4020.27343805392,0,0,0,0,0,0,0,"140106"
"4",0,0,1887.78178423586,0,0,0,0,0,0,0,262.310667722697,1558.6691615426,14508.4160963492,1921.91741460398,0,0,0,0,0,0,0,"140107"
"5",0,0,2926.03198180674,0,0,0,0,0,0,0,0,5733.88333611427,57449.4221889011,684.865056166891,0,0,0,0,0,0,0,"140108"
"6",0,0,0,0,0,0,0,0,0,0,0,12.0957556839293,31828.2473049169,2327.7318619258,0,0,0,0,0.241399712860584,0,0,"140114"
"7",0,0,679.089731562874,0,0,0,0,0,0,0,326.26336086592,5084.32129384452,18047.4480243919,908.994990960069,0,0,0,0,0,0,0,"140115"
"8",0,0,1850.38957797173,0,0,0,0,0,254.337072151725,0,661.820772303288,8028.70914674563,25634.0875756379,303.1740372926,0,0,0,0,0,0,0,"140116"
"9",0,0,0,0,0,0,0,0,0,0,115.629700325488,11975.6995095874,155810.272078022,14722.6759009425,0,0,0,0,6.97886290680617,0,0,"150201"
"10",0,0,0,0,0,0,0,0,0,0,173.434587183874,9052.71980395669,78937.3291638152,3547.82569256304,0,0,0,0,0,0,0,"150806"
"11",0,0,0,0,0,0,0,0,0,0,2694.96477680497,2446.37559349935,45321.0588536641,2271.44487366757,0,0,0,0,3.43059135670774,0,0,"150202"
"12",0,0,0,0,0,0,0,0,0,0,0,6190.16077352251,43305.2570040128,2401.02287235576,0,0,0,0,0,0,0,"150204"
