"temperature","albopictus.R0.median","aegypti.R0.median"
34.1,0.00126580765016583,0.16101055078474
34.2,0.00105987401346736,0.127059744811239
34.3,0.0008816245726538,0.0988937054459914
34.4,0.000727540700048255,0.0767803018862852
34.5,0.000595402495908848,0.0586199170885306
34.6,0.000483301945104344,0.04457232922433
34.7,0.000388990639279674,0.0338576264277073
34.8,0.000309548117333397,0.0252756756744232
34.9,0.000243655251786697,0.019157268094571
35,0.000189322173855128,0.0144871034924282
35.1,0.000143665998610954,0.0106795446613889
35.2,9.65930746931262e-05,0.00762269412856266
35.3,5.77174054361706e-05,0.00535960538448261
35.4,4.12687264897695e-05,0.00360935266938668
35.5,2.79940491969007e-05,0.00239250503453878
35.6,1.86241662449921e-05,0.00155882013271453
35.7,1.08273990668853e-05,0.000945916018800641
35.8,2.46721278798935e-06,0.00058893226372872
35.9,1.41615204605459e-06,0.000362463517360052
36,6.53561944466622e-07,0.000187901355899679
36.1,1.00227755552171e-07,0.000114116917963059
36.2,1.89669521310689e-08,5.64869386265071e-05
36.3,5.02674781572001e-10,2.46500367426613e-05
36.4,0,6.97647201654622e-06
36.5,0,2.77153865788784e-06
36.6,0,1.14424873488612e-06
36.7,0,8.59069199145517e-08
36.8,0,0
36.9,0,0
37,0,0
37.1,0,0
37.2,0,0
37.3,0,0
37.4,0,0
37.5,0,0
37.6,0,0
37.7,0,0
37.8,0,0
37.9,0,0
38,0,0
38.1,0,0
38.2,0,0
38.3,0,0
38.4,0,0
38.5,0,0
38.6,0,0
38.7,0,0
38.8,0,0
38.9,0,0
39,0,0
39.1,0,0
39.2,0,0
39.3,0,0
39.4,0,0
39.5,0,0
39.6,0,0
39.7,0,0
39.8,0,0
39.9,0,0
40,0,0
40.1,0,0
40.2,0,0
40.3,0,0
40.4,0,0
40.5,0,0
40.6,0,0
40.7,0,0
40.8,0,0
40.9,0,0
41,0,0
41.1,0,0
41.2,0,0
41.3,0,0
41.4,0,0
41.5,0,0
41.6,0,0
41.7,0,0
41.8,0,0
41.9,0,0
42,0,0
42.1,0,0
42.2,0,0
42.3,0,0
42.4,0,0
42.5,0,0
42.6,0,0
42.7,0,0
42.8,0,0
42.9,0,0
43,0,0
43.1,0,0
43.2,0,0
43.3,0,0
43.4,0,0
43.5,0,0
43.6,0,0
43.7,0,0
43.8,0,0
43.9,0,0
44,0,0
44.1,0,0
44.2,0,0
44.3,0,0
44.4,0,0
44.5,0,0
44.6,0,0
44.7,0,0
44.8,0,0
44.9,0,0
45,0,0
