"","0","3","4","5","6","9","11","12","13","15","18","21","24","25","27","30","31","32","33","34","35","LU_0","LU_3","LU_4","LU_5","LU_6","LU_9","LU_11","LU_12","LU_13","LU_15","LU_18","LU_21","LU_24","LU_25","LU_27","LU_30","LU_31","LU_32","LU_33","LU_34","LU_35","id"
".",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14.8200605070306,14.8200605070306,1687.75883328377,14.8200605070306,14.8200605070306,14.8200605070306,14.8200605070306,14.8200605070306,207.571134448619,14.8200605070306,513.808712004302,2419.20360771141,1885.62642761377,511.481009981145,14.8200605070306,14.8200605070306,14.8200605070306,14.8200605070306,14.8200605070306,14.8200605070306,14.8200605070306,060411
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,3.93228756485041,0,0,0,89.3096177975592,53.8430860791123,2.09377022087574,0,0,0,0,0,0,0,060412
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8.49244104512036,0,0,0,0,0,0,118.324438112427,1091.64285952805,0,0,1877.14965812775,62.3128972053528,0,0,0,0,0,0,0,060607
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.20945378160104,99.8859900568496,4.20945378160104,4.20945378160104,4.20945378160104,4.20945378160104,4.20945378160104,4.20945378160104,17.6975037863012,4.20945378160104,4.20945378160104,232.831074637619,752.180877940264,8.7294775894843,4.20945378160104,4.20945378160104,4.20945378160104,4.20945378160104,153.505627559498,4.20945378160104,4.20945378160104,060811
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2.76911288499832,346.389405393973,2.76911288499832,2.76911288499832,2.76911288499832,2.76911288499832,2.76911288499832,2.76911288499832,20.1046710129012,2.76911288499832,2.76911288499832,4210.39595756969,32036.5494575911,338.349776033458,2.76911288499832,2.76911288499832,2.76911288499832,2.76911288499832,4.56434655189514,2.76911288499832,2.76911288499832,060901
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39.7120225527324,200.253349230297,79.9920544055723,39.7120225527324,39.7120225527324,39.7120225527324,39.7120225527324,42.8454516460188,39.7120225527324,39.7120225527324,1061.77581945298,1458.74683912645,5053.38262490844,94.2186123809721,39.7120225527324,39.7120225527324,39.7120225527324,39.7120225527324,126.668583084687,39.7120225527324,39.7120225527324,060902
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.1002535829321,17.2340595664382,17.1002535829321,17.1002535829321,17.1002535829321,17.1002535829321,17.1002535829321,17.1002535829321,20.0081352639245,17.1002535829321,17.1002535829321,2203.68465702758,3665.01503729485,84.8903220272914,17.1002535829321,17.1002535829321,17.1002535829321,17.1002535829321,39.4764704485424,17.1002535829321,17.1002535829321,060904
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8.75847545974317,0,0,0,0,0,0,0.655001417811948,0,0,219.878287778384,2319.34293402969,29.8136629081564,0,0,0,0,89.4450773245241,0,0,060905
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,1.38767247605881,0,0,131.248432237522,716.069352051709,40.6710451552644,0,0,0,0,0,0,0,060907
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,44.2225920846709,2970.23239211547,12040.5393888665,760.753425786603,0,0,0,0,0,0,0,130201
"land_type_pop",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6864.37884782805,6864.37884782805,8964.04677969908,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,6864.40191267594,27285.4737471092,667213.075188334,34476.1177818548,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,6864.37884782805,140101
