"id","country","mean_rain","mean_temp","year","rain","temp","diff_rain"
"010101","PER3",0.00890545209374867,16.22932810418,2023,0.00909355929852692,16.0854876362134,0.000188107204778252
"010102","PER3",0.0113479967267173,11.5649083747123,2023,0.0139905624395624,11.1071398019463,0.00264256571284508
"010103","PER3",0.00839469806570377,16.0447310371608,2023,0.0107881620449287,16.3733951164179,0.00239346397922492
"010104","PER3",0.00981527461778345,15.1822195214657,2023,0.0119263807563791,15.4111570972342,0.00211110613859561
"010105","PER3",0.0108591958561281,13.4905667142721,2023,0.0126730721732771,13.2344084594243,0.00181387631714903
"010106","PER3",0.0085923630113628,14.2843364848072,2023,0.0115284520983232,14.115542527579,0.00293608908696044
"010107","PER3",0.011370200879852,8.64786678343909,2023,0.0157314444348189,8.31739181478771,0.00436124355496686
"010108","PER3",0.00899027321135899,16.3620961372101,2023,0.00924545362702502,16.2203960675955,0.00025518041566603
"010109","PER3",0.00892646415936051,11.0599766563869,2023,0.0110929297843502,11.2743043797018,0.00216646562498964
"010110","PER3",0.00906274628085672,8.96472141486876,2023,0.0123148092859082,9.31345299722567,0.0032520630050515
"010111","PER3",0.0084183387629504,14.6892301503566,2023,0.00832615134209156,14.6395964731143,-9.21874208588396e-05
"010112","PER3",0.00871628258871368,11.4852971758076,2023,0.00979113606415035,11.6667720647083,0.00107485347543666
"010113","PER3",0.00899827249037577,11.3227125855378,2023,0.0121441565930625,11.4152879159755,0.00314588410268671
"010114","PER3",0.0105648734768142,14.608700512667,2023,0.0138620696268764,14.5389652061424,0.0032971961500622
"010115","PER3",0.00894004502731832,11.7620942691508,2023,0.0127631684155207,11.9771358202135,0.00382312338820241
"010116","PER3",0.011771712412816,9.50707352333359,2023,0.015038575835029,9.12006564585484,0.003266863422213
"010117","PER3",0.0113855719798329,12.2501439802844,2023,0.013732349618851,11.9919552741193,0.00234677763901808
"010118","PER3",0.010318866114349,15.2049499606946,2023,0.0120538599912683,15.1731080562192,0.00173499387691935
"010119","PER3",0.0086535075766997,13.2129935872739,2023,0.00925854652136654,13.3191173498769,0.000605038944666845
"010120","PER3",0.00944318757177737,14.5473663941723,2023,0.0109044399983851,14.7685309595175,0.00146125242660774
"010121","PER3",0.00982095867248392,15.3145342343292,2023,0.0108554038604223,15.1074538869367,0.00103444518793837
"010201","PER3",0.00522524432143974,25.1521303664775,2023,0.00631555568285279,25.1814042362734,0.00109031136141305
"010202","PER3",0.00557459911064263,21.4540885147412,2023,0.00822488744985697,21.3464846713884,0.00265028833921434
"010203","PER3",0.0077308556090914,23.5180320921641,2023,0.00654727254182166,23.8896210066582,-0.00118358306726974
"010204","PER3",0.00519871789758015,21.608242158685,2023,0.00610362077687679,21.6000334421794,0.000904902879296639
"010205","PER3",0.00805343860187122,23.8788791700504,2023,0.0100598046306031,23.9146173189891,0.00200636602873187
"010206","PER3",0.00668028265105527,19.7916406314563,2023,0.00681218602512638,19.9945044240896,0.000131903374071114
"010301","PER3",0.0103700320041802,12.4381751056625,2023,0.0133075640450178,12.0488447453002,0.00293753204083766
"010302","PER3",0.0107742328161697,10.7456902442498,2023,0.0146446871063571,10.2655106526233,0.00387045429018746
"010303","PER3",0.0098859896449063,15.5639131009664,2023,0.0107171485225759,15.6567347147322,0.000831158877669632
"010304","PER3",0.0101126693727475,13.4893603693835,2023,0.0148961729515085,13.2307002486647,0.00478350357876106
"010305","PER3",0.00993729026579468,15.704442816385,2023,0.0115298161875406,15.7781894932123,0.00159252592174589
"010306","PER3",0.0101602890832012,15.3519105951148,2023,0.0118962176166966,15.4905093500441,0.00173592853349545
"010307","PER3",0.0101534944073642,15.8117275779291,2023,0.0105818140952754,16.1520611305968,0.000428319687911164
"010308","PER3",0.010447513832668,11.5578730952882,2023,0.0136041295051172,11.111736862562,0.00315661567244918
"010309","PER3",0.00997954428838831,15.0051774223974,2023,0.0111234922285233,14.9996498844033,0.00114394794013495
"010310","PER3",0.0104097687168855,16.1662547007649,2023,0.0104788401444435,16.5860360139585,6.90714275579651e-05
"010311","PER3",0.00975054491421774,15.628261558945,2023,0.0108126685261707,15.5299302120636,0.001062123611953
"010312","PER3",0.0103009532192859,15.9152719540245,2023,0.0173330738519787,15.9358575504985,0.00703212063269285
"010401","PER3",0.0104636312054834,25.1480381422186,2023,0.0101035305122346,25.3469033778408,-0.000360100693248754
"010402","PER3",0.0126102495569696,23.6554552312551,2023,0.0126651164923057,23.7481963892859,5.48669353360957e-05
"010403","PER3",0.0106943113547656,25.7953880555591,2023,0.00992173529928526,25.8767881218049,-0.000772576055480289
"010501","PER3",0.00944831887623804,15.168408017411,2023,0.00960254635851775,15.2286365327423,0.000154227482279707
"010502","PER3",0.0085074060382634,17.3041232232789,2023,0.0092296164195346,17.3671176548738,0.0007222103812712
"010503","PER3",0.00805402466397711,16.9340088593201,2023,0.0104292299361593,17.1987791260846,0.00237520527218218
"010504","PER3",0.00825225104330599,12.5344317306987,2023,0.00807521345826068,12.730404551164,-0.000177037585045309
"010505","PER3",0.00927233086123159,11.4973836318174,2023,0.00822887248549686,11.7899011592062,-0.00104345837573473
"010506","PER3",0.00857212653779902,11.8230277753746,2023,0.00821209196017035,12.0297273173917,-0.000360034577628671
"010507","PER3",0.00812505916760319,10.2513412403401,2023,0.00844157392086291,10.316536946747,0.000316514753259714
"010508","PER3",0.00883855663090935,12.7877526663456,2023,0.00828869495001474,12.9284533551884,-0.000549861680894614
"010509","PER3",0.00899701551820197,14.0477926638718,2023,0.00878361965287995,14.0758294078463,-0.000213395865322019
